3,,,,,,,,,,,
3,,Real,Predicho,Asignacion G,Predm0,predm1,predm2,predm3,,,
3,,4186.05,3937.801642,3,4010.395402,3141.916404,4046.310398,3937.801642,,,4046.310398
0,,5116.28,6471.583938,3,6590.060258,5144.223253,6114.075341,6471.583938,,,5144.223253
0,,4672.09,3607.623321,3,5729.279345,4699.013894,4356.940025,3607.623321,,,4699.013894
3,,6483.72,6683.317953,0,6683.317953,5529.368528,3901.391916,-154.8518581,,,6683.317953
3,,5327.91,5697.440693,0,5697.440693,6024.085643,6642.6631,5985.91366,,,5697.440693
2,,4930.23,4976.54324,3,4096.432475,3682.814178,4751.977323,4976.54324,,,4976.54324
2,,3813.95,3203.459298,3,3800.707594,4098.671798,3741.258339,3203.459298,,,3800.707594
2,,4958.14,6151.785318,2,5918.998743,4071.965817,6151.785318,3402.924222,,,4071.965817
2,,5745.35,3680.38737,2,6759.017798,6983.116448,3680.38737,6853.440939,,,6759.017798
2,,4958.14,3529.37622,2,5971.684038,7382.122799,3529.37622,4648.592098,,,4648.592098
3,,4868.6,4657.097636,2,3743.293533,6102.644773,4657.097636,4241.275408,,,4657.097636
3,,4238.37,2448.388948,2,3241.536941,3928.796212,2448.388948,3099.181504,,,3928.796212
3,,5404.65,4702.256883,3,5105.197655,6454.825058,4335.140035,4702.256883,,,5105.197655
3,,6674.42,6428.942259,3,5753.401578,6376.159359,2471.887329,6428.942259,,,6428.942259
3,,4825.58,4496.465968,3,5030.114327,4657.570842,3409.684364,4496.465968,,,4657.570842
3,,4576.74,5336.840758,3,7303.953503,4042.724535,5142.277393,5336.840758,,,4042.724535
3,,3446.51,3217.748986,3,4597.119599,4416.502535,1372.65352,3217.748986,,,3217.748986
3,,1883.72,2159.355182,3,2958.029857,3820.16184,3579.975611,2159.355182,,,2159.355182
3,,3861.63,3549.734537,3,3189.754915,3769.382351,3554.410668,3549.734537,,,3769.382351
3,,7198.84,5954.20604,3,7081.304321,6839.608818,3264.749778,5954.20604,,,7081.304321
3,,6046.51,9172.47229,3,5204.052387,5330.650006,6709.998143,9172.47229,,,5330.650006
3,,1811.63,2377.863581,3,3484.656972,4906.809242,3129.238355,2377.863581,,,2377.863581
3,,5603.49,8322.778185,3,6199.060812,6477.850869,8277.111298,8322.778185,,,6199.060812
3,,5462.79,7087.965468,3,6898.034029,6576.593926,6820.401118,7087.965468,,,6576.593926
3,,7720.93,7088.365443,3,6222.934871,5061.537294,7794.366369,7088.365443,,,7794.366369
3,,2947.67,4497.228484,3,3277.772108,3615.194804,2613.208123,4497.228484,,,2613.208123
3,,4897.67,4305.189379,3,5668.363616,5750.651096,2961.73423,4305.189379,,,4305.189379
3,,4767.44,6608.519383,3,2865.221702,3418.099501,5023.642322,6608.519383,,,5023.642322
3,,4988.37,2718.639837,3,4832.570333,4357.489449,5394.633887,2718.639837,,,4832.570333
3,,5115.12,2114.536464,3,6661.327586,5503.099545,4757.759528,2114.536464,,,4757.759528
3,,6102.33,6462.13517,3,6434.055682,6879.321263,5240.140072,6462.13517,,,6462.13517
3,,6498.84,7076.427002,3,6442.705939,7216.934566,4260.03254,7076.427002,,,6442.705939
3,,5933.72,4156.363961,3,3273.374415,3900.580674,6420.031422,4156.363961,,,4156.363961
3,,6197.67,3925.851659,3,4862.928229,5025.912543,3024.702783,3925.851659,,,5025.912543
3,,2193.02,3056.622959,3,3541.753052,4582.483417,3725.710785,3056.622959,,,3056.622959
3,,3013.95,3954.585435,3,4964.907734,4643.601119,6445.21483,3954.585435,,,3954.585435
3,,5925.81,6675.746587,3,5074.594138,6279.921236,2049.330627,6675.746587,,,6279.921236
3,,4343.02,4230.398891,3,3649.24561,4172.804743,7014.726754,4230.398891,,,4230.398891
,,4767.44,2617.141245,3,4047.530582,4811.004618,2388.122772,2617.141245,,,4811.004618
,,3909.3,6014.097489,3,3132.581349,4951.250251,7699.321413,6014.097489,,,3132.581349
